stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
301,36STLEJS,NW 42 AV & 36 ST,NW 42 AV & NW 36 ST,25.80762,-80.26465,,,,,,0
303,FLAG37AS,SW 37 AV & W FLAGLER ST,,25.771256,-80.255537,,,,,,0
304,37AV22SS,SW 37 AV & CORAL WAY,,25.749457,-80.254667,,,,,,0
305,GRANDGLS,SW 37 AV & GRAND AV,,25.727393,-80.253683,,,,,,0
306,COCOPLUS,SUNSET DR & GRANADA BLVD,SW 72 ST & COCOPLUM PLAZA,25.70544,-80.261835,,,,,,0
307,SOUTMIAT,SOUTH MIAMI METRORAIL STATION,SOUTH MIAMI STA & 5949 SW 72 ST,25.705286,-80.28894,,,,,,0
309,COCOPLUN,SUNSET DRIVE & OLD CUTLER RD,SW 72 ST & OLD CUTLER RD,25.705306,-80.26141,,,,,,0
310,GRANDGLN,SW 37 AV & GRAND AV,,25.728036,-80.253525,,,,,,0
311,37AV22SN,SW 37 AV & SW 22 ST,,25.749639,-80.254444,,,,,,0
312,FLAG37AN,SW 37 AV & W FLAGLER ST,,25.771321,-80.255372,,,,,,0
316,PALM49SN,PALM AV & E 49 ST,,25.867277,-80.282971,,,,,,0
321,216S112N,SW 112 AV & 216 ST,SW 112 AV & SW 216 ST,25.567193,-80.37211,,,,,,0
322,216S112S,SW 216 ST & 112 AV,SW 112 AV & SW 216 ST,25.566732,-80.372316,,,,,,0
326,SW8S129E,SW 8 ST & 129 PL,SW 8 ST & SW 129 PL,25.760817,-80.405223,,,,,,0
327,18ST127E,SW 18 ST & 127 AV,SW 18 ST & SW 127 AV,25.751266,-80.39927,,,,,,0
329,127A42SE,SW 42 ST & 127 AV,SW 42 ST & SW 127 AV,25.729565,-80.399194,,,,,,0
330,107A40SE,SW 40 ST @ SW 107 AV,,25.73222,-80.36708,,,,,,0
331,40ST87AE,SW 40 ST @ SW 87 AV,,25.73297,-80.33497,,,,,,0
332,67AV40SE,SW 40 ST & 67 AV,SW 40 ST & SW 67 AV,25.733275,-80.303252,,,,,,0
337,67AV40SW,SW 40 ST @ SW 67 AV,,25.73355,-80.30267,,,,,,0
338,40ST87AW,SW 40 ST @ SW 87 AV,,25.73323,-80.33518,,,,,,0
339,107A40SW,SW 40 ST & 107 AV,SW 40 ST & SW 107 AV,25.732489,-80.367576,,,,,,0
340,127A42SW,SW 42 ST & SW 127 AV,,25.729758,-80.39917,,,,,,0
342,18ST127W,SW 18 ST & 127 AV,SW 18 ST & SW 127 AV,25.751334,-80.401201,,,,,,0
344,22AVALBS,NW 22 AV & ALI BABA AV,,25.909214,-80.236135,,,,,,0
345,49STE8AS,E 8 AV & 49 ST HIALEAH,E 8 AV & E 49 ST,25.86684,-80.266909,,,,,,0
346,AMTRSTAT,NW 37 AV AMTRAK STATION,NW 37 AV & # 8303 (AMTRAK),25.849302,-80.257825,,,,,,0
347,CWAYLEJS,SW 42 AV & CORAL WAY,SW 42 AV & CORAL WY,25.749606,-80.262854,,,,,,0
348,BIRDLEJS,SW 40 ST & LE JEUNE RD,SW 40 ST & SW 42 AV,25.734663,-80.261769,,,,,,0
351,BIRDLEJN,SW 40 ST @ SALZEDO ST,,25.73479,-80.26209,,,,,,0
352,CWAYLEJN,LE JEUNE RD & MIRACLE MILE,SW 42 AV & CORAL WY,25.749069,-80.262608,,,,,,0
353,36STLEJN,36ST & LE JEUNE RD,OKEECHOBEE RD & LE JEUNE RD,25.80949,-80.264182,,,,,,0
355,49STE8AN,E 8 AV & 49 ST HIALEAH,E 8 AV & E 49 ST,25.866924,-80.266633,,,,,,0
356,22AVALBN,NW 22 AV & ALI BABA AV,,25.909473,-80.235863,,,,,,0
358,137A18SE,SW 137 AV @ SW 18 ST,,25.75045,-80.41665,,,,,,0
359,5STRALTE,5 ST & LENOX AV,,25.77417,-80.139731,,,,,,0
360,LINCWASE,Lincoln Rd @ James Ave,,25.79061,-80.13108,,,,,,0
363,LINCWASW,LINCOLN RD & WASHINGTON AV,,25.790784,-80.131578,,,,,,0
364,5STRALTW,5 ST & LENOX AV,,25.774525,-80.139828,,,,,,0
365,137A18SW,SW 137 AV & 18 ST,SW 137 AV & SW 18 ST,25.750058,-80.416351,,,,,,0
367,HLTHCNTT,COMMUNITY HEALTH OF SOUTH FLORIDA,S DADE HEALTH CTR & 10300 SW 216 ST,25.565732,-80.357201,,,,,,0
369,200SQUAW,SW 200 ST & QUAIL ROOST DR,QUAIL ROOST DR & 200TH BLVD,25.581395,-80.392769,,,,,,0
371,112A152N,SW 112 AV & 152 ST,SW 112 AV & SW 152 ST,25.628521,-80.374402,,,,,,0
375,UNIVSTAS,PONCE DE LEON BLVD & MERRICK ST,PONCE DE LEON BD & MERRICK ST,25.715539,-80.276754,,,,,,0
376,112A152S,SW 112 AV & 152 ST,SW 112 AV & SW 152 ST,25.628271,-80.374663,,,,,,0
378,MRGNSCHS,SW 122 AV & 181 TERR,SW 122 AV & SW 181 TE,25.599123,-80.389148,,,,,,0
