stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
05_1_S9,,STOP_05_1_S9,,20.979752,105.819939,,,0,,,0,,
05_1_S10,,STOP_05_1_S10,,20.985767,105.813759,,,0,,,0,,
05_1_S11,,STOP_05_1_S11,,20.9916,105.813278,,,0,,,0,,
05_1_S12,,STOP_05_1_S12,,20.994934,105.814255,,,0,,,0,,
05_1_S13,,STOP_05_1_S13,,20.996183,105.80909,,,0,,,0,,
05_1_S14,,STOP_05_1_S14,,20.995817,105.805359,,,0,,,0,,
05_1_S15,,STOP_05_1_S15,,21.000534,105.801674,,,0,,,0,,
05_1_S16,,STOP_05_1_S16,,21.003117,105.799622,,,0,,,0,,
05_1_S17,,STOP_05_1_S17,,21.00695,105.796608,,,0,,,0,,
05_1_S18,,STOP_05_1_S18,,21.010952,105.79319,,,0,,,0,,
05_1_S19,,STOP_05_1_S19,,21.014032,105.794922,,,0,,,0,,
05_1_S20,,STOP_05_1_S20,,21.016567,105.794312,,,0,,,0,,
05_1_S21,,STOP_05_1_S21,,21.022272,105.790741,,,0,,,0,,
05_1_S22,,STOP_05_1_S22,,21.025551,105.788826,,,0,,,0,,
05_1_S23,,STOP_05_1_S23,,21.028334,105.784691,,,0,,,0,,
05_1_S24,,STOP_05_1_S24,,21.028967,105.780678,,,0,,,0,,
05_1_S25,,STOP_05_1_S25,,21.029287,105.777962,,,0,,,0,,
05_1_S26,,STOP_05_1_S26,,21.031279,105.774536,,,0,,,0,,
05_1_S27,,STOP_05_1_S27,,21.033615,105.770576,,,0,,,0,,
05_1_S28,,STOP_05_1_S28,,21.034666,105.766678,,,0,,,0,,
05_1_S29,,STOP_05_1_S29,,21.040382,105.766327,,,0,,,0,,
05_1_S30,,STOP_05_1_S30,,21.046982,105.762924,,,0,,,0,,
05_1_S31,,STOP_05_1_S31,,21.051266,105.763443,,,0,,,0,,
05_1_S32,,STOP_05_1_S32,,21.054165,105.76371,,,0,,,0,,
05_1_S33,,STOP_05_1_S33,,21.059515,105.764572,,,0,,,0,,
05_2_S1,,STOP_05_2_S1,,21.059515,105.764572,,,0,,,0,,
05_2_S2,,STOP_05_2_S2,,21.054316,105.763725,,,0,,,0,,
05_2_S3,,STOP_05_2_S3,,21.051716,105.763489,,,0,,,0,,
05_2_S4,,STOP_05_2_S4,,21.047516,105.762611,,,0,,,0,,
05_2_S5,,STOP_05_2_S5,,21.040253,105.765877,,,0,,,0,,
05_2_S6,,STOP_05_2_S6,,21.034349,105.766808,,,0,,,0,,
05_2_S7,,STOP_05_2_S7,,21.033371,105.770668,,,0,,,0,,
05_2_S8,,STOP_05_2_S8,,21.031099,105.774376,,,0,,,0,,
05_2_S9,,STOP_05_2_S9,,21.029066,105.77829,,,0,,,0,,
05_2_S10,,STOP_05_2_S10,,21.028549,105.781593,,,0,,,0,,
05_2_S11,,STOP_05_2_S11,,21.026699,105.787827,,,0,,,0,,
05_2_S12,,STOP_05_2_S12,,21.022333,105.790512,,,0,,,0,,
05_2_S13,,STOP_05_2_S13,,21.016315,105.794174,,,0,,,0,,
05_2_S14,,STOP_05_2_S14,,21.013767,105.794312,,,0,,,0,,
05_2_S15,,STOP_05_2_S15,,21.010933,105.793144,,,0,,,0,,
05_2_S16,,STOP_05_2_S16,,21.006657,105.796722,,,0,,,0,,
05_2_S17,,STOP_05_2_S17,,21.003487,105.799278,,,0,,,0,,
05_2_S18,,STOP_05_2_S18,,21.000418,105.801605,,,0,,,0,,
05_2_S19,,STOP_05_2_S19,,20.996616,105.804588,,,0,,,0,,
05_2_S20,,STOP_05_2_S20,,20.993834,105.805641,,,0,,,0,,
05_2_S21,,STOP_05_2_S21,,20.995634,105.808922,,,0,,,0,,
05_2_S22,,STOP_05_2_S22,,20.993601,105.806076,,,0,,,0,,
